Reporting areas;Total;Jan;Feb;Mar;Apr;May;June;July;Aug;Sept;Oct;Nov;Dec
Total;46829;1928;1472;1920;2135;4809;7573;7684;6214;4153;3344;3141;2456
Northern Region;7227;194;169;231;297;758;1602;1659;1113;467;322;239;176
Zone:1;2320;22;27;42;104;292;616;561;348;138;89;54;27
Chiang Mai;1196;8;4;8;18;95;301;217;137;47;35;16;9
Chiang Rai;131;2;1;5;7;7;18;19;26;12;9;5;2
Lampang;269;2;2;3;16;36;62;31;24;10;9;5;7
Lamphun;347;3;5;4;11;31;60;66;67;25;9;6;-
Mae Hong Son;81;1;3;-;2;4;15;30;9;1;1;-;-
Nan;123;1;-;2;1;8;11;13;17;28;15;13;3
Phayao;90;-;2;3;8;11;10;24;15;4;2;1;-
Phrae;699;5;10;17;41;100;139;161;53;11;9;8;6
Zone:2;2525;48;29;65;103;305;611;590;379;175;104;58;58
Phetchabun;961;13;13;14;30;112;206;149;109;61;27;11;10
Phitsanulok;596;10;6;21;32;55;111;73;60;32;32;24;29
Sukhothai;288;4;1;5;7;15;54;63;50;18;12;2;3
Tak;919;18;6;18;26;99;165;241;111;38;16;12;4
Uttaradit;372;3;3;7;8;24;75;64;49;26;17;9;12
Zone:3;2382;124;113;124;90;161;375;508;386;154;129;127;91
Kamphaeng Phet;723;16;19;37;27;33;110;159;110;34;23;25;20
Nakhon Sawan;1313;61;52;46;39;74;168;256;191;70;67;71;50
Phichit;405;37;30;31;12;22;47;47;46;34;25;15;12
Uthai Thani;316;10;12;10;12;32;50;46;39;16;14;16;9
Central Region;20214;1125;846;1131;944;1859;2470;2623;2396;1956;1807;1720;1337
Bangkok;7632;519;349;418;219;796;979;835;692;683;709;643;790
Zone:4;2843;95;85;107;125;220;280;412;506;401;238;290;84
Ang Thong;325;13;15;23;24;29;43;25;38;23;23;25;1
Nonthaburi;1668;39;25;27;49;108;146;220;283;224;169;175;57
P.Nakhon S.Ayutthaya;417;35;33;28;12;22;36;30;65;27;46;40;7
Pathum Thani;713;8;12;29;40;61;55;137;120;127;-;50;19
Zone:5;1372;49;28;72;65;146;197;214;166;107;131;124;73
Chai Nat;183;7;14;10;3;5;20;29;16;19;25;12;3
Lop Buri;912;17;8;44;45;84;103;122;104;65;90;79;48
Saraburi;359;13;4;11;8;48;61;51;36;15;13;22;16
Sing Buri;115;12;2;7;9;9;13;12;10;8;3;11;6
Zone:6;2977;163;143;189;142;138;336;466;388;267;312;270;163
Kanchanaburi;439;14;13;18;25;22;59;61;51;34;37;26;20
Nakhon Pathom;953;49;37;45;26;33;92;122;110;77;111;91;68
Ratchaburi;1248;66;67;93;64;47;121;222;173;111;78;53;32
Suphan Buri;673;34;26;33;27;36;64;61;54;45;86;100;43
Zone:7;1044;113;75;100;87;96;63;93;138;105;65;68;41
Phetchaburi;228;19;19;24;26;35;16;19;31;10;8;3;2
Prachuap Khiri Khan;239;14;7;17;22;36;19;21;22;31;9;15;7
Samut Sakhon;472;66;37;49;34;12;17;38;71;45;30;33;23
Samut Songkhram;168;14;12;10;5;13;11;15;14;19;18;17;9
Zone:8;2670;137;106;150;208;238;344;329;306;260;254;203;135
Chachoengsao;515;22;6;6;12;22;46;61;78;59;68;58;31
Nakhon Nayok;221;6;3;19;20;22;31;27;15;13;17;9;8
Prachin Buri;437;17;3;14;37;91;90;56;27;12;-;-;-
Sa Kaeo;443;12;9;24;45;42;59;59;53;32;21;13;15
Samut Prakan;1398;80;85;87;94;61;118;126;133;144;148;123;81
Zone:9;1676;49;60;95;98;225;271;274;200;133;98;122;51
Chanthaburi;724;18;14;21;28;108;116;111;68;48;29;36;11
Chon Buri;83;4;3;6;11;6;7;9;10;9;5;6;-
Rayong;995;19;37;64;48;92;135;147;106;62;50;67;33
Trat;145;8;6;4;11;19;13;7;16;14;14;13;7
North-Eastern Region;14782;104;143;285;655;1769;2978;2930;2369;1465;899;734;451
Zone:10;1406;20;18;48;119;214;262;227;160;99;96;93;50
Loei;493;4;6;20;53;87;106;47;29;10;12;11;2
Nong Bua Lam Phu;207;3;3;8;28;38;44;21;12;2;1;3;-
Nong Khai;341;6;7;11;18;41;31;56;39;21;38;27;15
Udon Thani;627;7;2;9;20;48;81;103;80;66;45;52;33
Zone:11;1802;9;21;20;98;265;401;336;252;164;74;100;62
Kalasin;672;4;9;8;34;65;91;59;65;77;49;69;51
Mukdahan;236;1;4;7;4;24;54;31;26;19;9;3;-
Nakhon Phanom;262;1;3;1;16;52;45;35;39;15;2;5;3
Sakon Nakhon;1033;3;5;4;44;124;211;211;122;53;14;23;8
Zone:12;2944;23;22;36;89;368;639;571;454;314;173;153;102
Khon Kaen;1713;16;18;25;53;179;249;279;218;188;126;81;32
Maha Sarakham;298;4;2;4;5;43;61;36;26;9;12;19;16
Roi Et;1572;3;2;7;31;146;329;256;210;117;35;53;54
Zone:13;6071;41;60;107;204;631;1136;1330;1053;656;387;303;163
Buri Ram;1622;4;14;41;44;171;292;332;287;81;47;13;4
Chaiyaphum;620;5;2;12;33;69;94;99;44;39;59;51;19
Nakhon Ratchasima;2165;18;11;19;81;188;342;334;238;196;179;146;71
Surin;2800;14;33;35;46;203;408;565;484;340;102;93;69
Zone:14;2559;11;22;74;145;291;540;466;450;232;169;85;74
Amnat Charoen;271;-;-;1;12;29;44;35;35;21;23;16;11
Si Sa Ket;1685;9;12;50;92;170;295;260;223;119;80;41;39
Ubon Ratchathani;1021;2;10;21;31;78;177;156;165;90;66;26;22
Yasothon;122;-;-;2;10;14;24;15;27;2;-;2;2
Southern Region;4606;505;314;273;239;423;523;472;336;265;316;448;492
Zone:15;1376;132;82;76;68;162;196;184;110;72;85;116;93
Chumphon;434;7;10;8;15;49;75;57;32;31;26;33;16
Ranong;140;15;10;6;8;18;14;20;10;10;8;7;-
Surat Thani;998;110;62;62;45;95;107;107;68;31;51;76;77
Zone:16;909;179;100;85;70;92;88;72;38;40;31;53;61
Nakhon Si Thammarat;728;127;68;62;51;76;69;49;21;29;20;38;49
Phatthalung;165;37;26;19;13;4;4;13;7;6;8;12;12
Trang;104;15;6;4;6;12;15;10;10;5;3;3;-
Zone:17;563;44;33;42;38;47;77;73;63;47;37;42;20
Krabi;201;23;10;11;14;14;24;10;16;18;11;19;7
Phangnga;284;12;17;19;17;15;29;46;29;19;22;18;12
Phuket;155;9;6;12;7;18;24;17;18;10;4;5;1
Zone:18;847;60;38;32;21;53;82;78;75;52;89;112;155
Narathiwat;184;8;9;6;5;9;16;21;16;11;15;25;27
Pattani;427;39;26;18;6;27;25;27;38;31;39;55;71
Yala;318;13;3;8;10;17;41;30;21;10;35;32;57
Zone:19;911;90;61;38;42;69;80;65;50;54;74;125;163
Satun;25;3;2;1;2;1;-;1;2;4;5;2;2
Songkhla;966;87;59;37;40;68;80;64;48;50;69;123;161