"","Reporting areas","2006.total","2006.01","2006.02","2006.03","2006.04","2006.05","2006.06","2006.07","2006.08","2006.09","2006.10","2006.11","2006.12","2007.total","2007.01","2007.02","2007.03","2007.04","2007.05","2007.06","2007.07","2007.08","2007.09","2007.10","2007.11","2007.12","2008.total","2008.01","2008.02","2008.03","2008.04","2008.05","2008.06","2008.07","2008.08","2008.09","2008.10","2008.11","2008.12","2009.total","2009.01","2009.02","2009.03","2009.04","2009.05","2009.06","2009.07","2009.08","2009.09","2009.10","2009.11","2009.12","2010.total","2010.01","2010.02","2010.03","2010.04","2010.05","2010.06","2010.07","2010.08","2010.09","2010.10","2010.11","2010.12","2011.total","2011.01","2011.02","2011.03","2011.04","2011.05","2011.06","2011.07","2011.08","2011.09","2011.10","2011.11","2011.12","2012.total","2012.01","2012.02","2012.03","2012.04","2012.05","2012.06","2012.07","2012.08","2012.09","2012.10","2012.11","2012.12","2013.total","2013.01","2013.02","2013.03","2013.04","2013.05","2013.06","2013.07","2013.08","2013.09","2013.10","2013.11","2013.12","2014.total","2014.01","2014.02","2014.03","2014.04","2014.05","2014.06","2014.07","2014.08","2014.09","2014.10","2014.11","2014.12","2015.total","2015.01","2015.02","2015.03","2015.04","2015.05","2015.06","2015.07","2015.08","2015.09","2015.10","2015.11","2015.12","2016.total","2016.01","2016.02","2016.03","2016.04","2016.05","2016.06","2016.07","2016.08","2016.09","2016.10","2016.11","2016.12","2017.total","2017.01","2017.02","2017.03","2017.04","2017.05","2017.06","2017.07","2017.08","2017.09","2017.10","2017.11","2017.12","2018.total","2018.01","2018.02","2018.03","2018.04","2018.05","2018.06","2018.07","2018.08","2018.09","2018.10","2018.11","2018.12","2019.total","2019.01","2019.02","2019.03","2019.04","2019.05","2019.06","2019.07","2019.08","2019.09","2019.10","2019.11","2019.12","2020.total","2020.01","2020.02","2020.03","2020.04","2020.05","2020.06","2020.07","2020.08","2020.09","2020.10","2020.11","2020.12"
"1","Bangkok","10912","617","621","591","381","348","536","901","1399","1576","1654","1462","826","10912","617","621","591","381","348","536","901","1399","1576","1654","1462","826","10912","617","621","591","381","348","536","901","1399","1576","1654","1462","826","10912","617","621","591","381","348","536","901","1399","1576","1654","1462","826","10912","617","621","591","381","348","536","901","1399","1576","1654","1462","826","10912","617","621","591","381","348","536","901","1399","1576","1654","1462","826","10912","617","621","591","381","348","536","901","1399","1576","1654","1462","826","10912","617","621","591","381","348","536","901","1399","1576","1654","1462","826","10912","617","621","591","381","348","536","901","1399","1576","1654","1462","826","10912","617","621","591","381","348","536","901","1399","1576","1654","1462","826","10912","617","621","591","381","348","536","901","1399","1576","1654","1462","826","10912","617","621","591","381","348","536","901","1399","1576","1654","1462","826","10912","617","621","591","381","348","536","901","1399","1576","1654","1462","826","10912","617","621","591","381","348","536","901","1399","1576","1654","1462","826","10912","617","621","591","381","348","536","901","1399","1576","1654","1462","826"
"2","Nonthaburi","1582","136","111","112","36","40","96","166","210","204","198","182","91","1582","136","111","112","36","40","96","166","210","204","198","182","91","1582","136","111","112","36","40","96","166","210","204","198","182","91","1582","136","111","112","36","40","96","166","210","204","198","182","91","1582","136","111","112","36","40","96","166","210","204","198","182","91","1582","136","111","112","36","40","96","166","210","204","198","182","91","1582","136","111","112","36","40","96","166","210","204","198","182","91","1582","136","111","112","36","40","96","166","210","204","198","182","91","1582","136","111","112","36","40","96","166","210","204","198","182","91","1582","136","111","112","36","40","96","166","210","204","198","182","91","1582","136","111","112","36","40","96","166","210","204","198","182","91","1582","136","111","112","36","40","96","166","210","204","198","182","91","1582","136","111","112","36","40","96","166","210","204","198","182","91","1582","136","111","112","36","40","96","166","210","204","198","182","91","1582","136","111","112","36","40","96","166","210","204","198","182","91"
"3","P.Nakhon S.Ayutthaya","562","53","45","28","30","14","19","61","83","97","58","49","25","562","53","45","28","30","14","19","61","83","97","58","49","25","562","53","45","28","30","14","19","61","83","97","58","49","25","562","53","45","28","30","14","19","61","83","97","58","49","25","562","53","45","28","30","14","19","61","83","97","58","49","25","562","53","45","28","30","14","19","61","83","97","58","49","25","562","53","45","28","30","14","19","61","83","97","58","49","25","562","53","45","28","30","14","19","61","83","97","58","49","25","562","53","45","28","30","14","19","61","83","97","58","49","25","562","53","45","28","30","14","19","61","83","97","58","49","25","562","53","45","28","30","14","19","61","83","97","58","49","25","562","53","45","28","30","14","19","61","83","97","58","49","25","562","53","45","28","30","14","19","61","83","97","58","49","25","562","53","45","28","30","14","19","61","83","97","58","49","25","562","53","45","28","30","14","19","61","83","97","58","49","25"
"4","Pathum Thani","775","63","51","91","30","27","44","75","121","114","68","54","37","775","63","51","91","30","27","44","75","121","114","68","54","37","775","63","51","91","30","27","44","75","121","114","68","54","37","775","63","51","91","30","27","44","75","121","114","68","54","37","775","63","51","91","30","27","44","75","121","114","68","54","37","775","63","51","91","30","27","44","75","121","114","68","54","37","775","63","51","91","30","27","44","75","121","114","68","54","37","775","63","51","91","30","27","44","75","121","114","68","54","37","775","63","51","91","30","27","44","75","121","114","68","54","37","775","63","51","91","30","27","44","75","121","114","68","54","37","775","63","51","91","30","27","44","75","121","114","68","54","37","775","63","51","91","30","27","44","75","121","114","68","54","37","775","63","51","91","30","27","44","75","121","114","68","54","37","775","63","51","91","30","27","44","75","121","114","68","54","37","775","63","51","91","30","27","44","75","121","114","68","54","37"
"5","Saraburi","631","19","28","23","17","25","42","91","135","111","65","57","18","631","19","28","23","17","25","42","91","135","111","65","57","18","631","19","28","23","17","25","42","91","135","111","65","57","18","631","19","28","23","17","25","42","91","135","111","65","57","18","631","19","28","23","17","25","42","91","135","111","65","57","18","631","19","28","23","17","25","42","91","135","111","65","57","18","631","19","28","23","17","25","42","91","135","111","65","57","18","631","19","28","23","17","25","42","91","135","111","65","57","18","631","19","28","23","17","25","42","91","135","111","65","57","18","631","19","28","23","17","25","42","91","135","111","65","57","18","631","19","28","23","17","25","42","91","135","111","65","57","18","631","19","28","23","17","25","42","91","135","111","65","57","18","631","19","28","23","17","25","42","91","135","111","65","57","18","631","19","28","23","17","25","42","91","135","111","65","57","18","631","19","28","23","17","25","42","91","135","111","65","57","18"
"6","Ang Thong","308","13","22","21","18","12","22","47","73","52","16","7","5","308","13","22","21","18","12","22","47","73","52","16","7","5","308","13","22","21","18","12","22","47","73","52","16","7","5","308","13","22","21","18","12","22","47","73","52","16","7","5","308","13","22","21","18","12","22","47","73","52","16","7","5","308","13","22","21","18","12","22","47","73","52","16","7","5","308","13","22","21","18","12","22","47","73","52","16","7","5","308","13","22","21","18","12","22","47","73","52","16","7","5","308","13","22","21","18","12","22","47","73","52","16","7","5","308","13","22","21","18","12","22","47","73","52","16","7","5","308","13","22","21","18","12","22","47","73","52","16","7","5","308","13","22","21","18","12","22","47","73","52","16","7","5","308","13","22","21","18","12","22","47","73","52","16","7","5","308","13","22","21","18","12","22","47","73","52","16","7","5","308","13","22","21","18","12","22","47","73","52","16","7","5"
"7","Chai Nat","205","10","5","8","18","9","11","22","37","45","17","16","7","205","10","5","8","18","9","11","22","37","45","17","16","7","205","10","5","8","18","9","11","22","37","45","17","16","7","205","10","5","8","18","9","11","22","37","45","17","16","7","205","10","5","8","18","9","11","22","37","45","17","16","7","205","10","5","8","18","9","11","22","37","45","17","16","7","205","10","5","8","18","9","11","22","37","45","17","16","7","205","10","5","8","18","9","11","22","37","45","17","16","7","205","10","5","8","18","9","11","22","37","45","17","16","7","205","10","5","8","18","9","11","22","37","45","17","16","7","205","10","5","8","18","9","11","22","37","45","17","16","7","205","10","5","8","18","9","11","22","37","45","17","16","7","205","10","5","8","18","9","11","22","37","45","17","16","7","205","10","5","8","18","9","11","22","37","45","17","16","7","205","10","5","8","18","9","11","22","37","45","17","16","7"
"8","Lop Buri","1218","33","64","77","25","24","65","225","358","239","41","34","33","1218","33","64","77","25","24","65","225","358","239","41","34","33","1218","33","64","77","25","24","65","225","358","239","41","34","33","1218","33","64","77","25","24","65","225","358","239","41","34","33","1218","33","64","77","25","24","65","225","358","239","41","34","33","1218","33","64","77","25","24","65","225","358","239","41","34","33","1218","33","64","77","25","24","65","225","358","239","41","34","33","1218","33","64","77","25","24","65","225","358","239","41","34","33","1218","33","64","77","25","24","65","225","358","239","41","34","33","1218","33","64","77","25","24","65","225","358","239","41","34","33","1218","33","64","77","25","24","65","225","358","239","41","34","33","1218","33","64","77","25","24","65","225","358","239","41","34","33","1218","33","64","77","25","24","65","225","358","239","41","34","33","1218","33","64","77","25","24","65","225","358","239","41","34","33","1218","33","64","77","25","24","65","225","358","239","41","34","33"
"9","Sing Buri","67","4","1","2","4","1","4","4","20","17","10","0","0","67","4","1","2","4","1","4","4","20","17","10","0","0","67","4","1","2","4","1","4","4","20","17","10","0","0","67","4","1","2","4","1","4","4","20","17","10","0","0","67","4","1","2","4","1","4","4","20","17","10","0","0","67","4","1","2","4","1","4","4","20","17","10","0","0","67","4","1","2","4","1","4","4","20","17","10","0","0","67","4","1","2","4","1","4","4","20","17","10","0","0","67","4","1","2","4","1","4","4","20","17","10","0","0","67","4","1","2","4","1","4","4","20","17","10","0","0","67","4","1","2","4","1","4","4","20","17","10","0","0","67","4","1","2","4","1","4","4","20","17","10","0","0","67","4","1","2","4","1","4","4","20","17","10","0","0","67","4","1","2","4","1","4","4","20","17","10","0","0","67","4","1","2","4","1","4","4","20","17","10","0","0"
"10","Chachoengsao","975","48","55","58","51","59","76","145","166","139","117","61","0","975","48","55","58","51","59","76","145","166","139","117","61","0","975","48","55","58","51","59","76","145","166","139","117","61","0","975","48","55","58","51","59","76","145","166","139","117","61","0","975","48","55","58","51","59","76","145","166","139","117","61","0","975","48","55","58","51","59","76","145","166","139","117","61","0","975","48","55","58","51","59","76","145","166","139","117","61","0","975","48","55","58","51","59","76","145","166","139","117","61","0","975","48","55","58","51","59","76","145","166","139","117","61","0","975","48","55","58","51","59","76","145","166","139","117","61","0","975","48","55","58","51","59","76","145","166","139","117","61","0","975","48","55","58","51","59","76","145","166","139","117","61","0","975","48","55","58","51","59","76","145","166","139","117","61","0","975","48","55","58","51","59","76","145","166","139","117","61","0","975","48","55","58","51","59","76","145","166","139","117","61","0"
"11","Nakhon Nayok","99","3","10","6","2","10","18","8","21","9","11","1","0","99","3","10","6","2","10","18","8","21","9","11","1","0","99","3","10","6","2","10","18","8","21","9","11","1","0","99","3","10","6","2","10","18","8","21","9","11","1","0","99","3","10","6","2","10","18","8","21","9","11","1","0","99","3","10","6","2","10","18","8","21","9","11","1","0","99","3","10","6","2","10","18","8","21","9","11","1","0","99","3","10","6","2","10","18","8","21","9","11","1","0","99","3","10","6","2","10","18","8","21","9","11","1","0","99","3","10","6","2","10","18","8","21","9","11","1","0","99","3","10","6","2","10","18","8","21","9","11","1","0","99","3","10","6","2","10","18","8","21","9","11","1","0","99","3","10","6","2","10","18","8","21","9","11","1","0","99","3","10","6","2","10","18","8","21","9","11","1","0","99","3","10","6","2","10","18","8","21","9","11","1","0"
"12","Prachin Buri","1348","34","31","49","71","135","244","283","209","156","75","39","22","1348","34","31","49","71","135","244","283","209","156","75","39","22","1348","34","31","49","71","135","244","283","209","156","75","39","22","1348","34","31","49","71","135","244","283","209","156","75","39","22","1348","34","31","49","71","135","244","283","209","156","75","39","22","1348","34","31","49","71","135","244","283","209","156","75","39","22","1348","34","31","49","71","135","244","283","209","156","75","39","22","1348","34","31","49","71","135","244","283","209","156","75","39","22","1348","34","31","49","71","135","244","283","209","156","75","39","22","1348","34","31","49","71","135","244","283","209","156","75","39","22","1348","34","31","49","71","135","244","283","209","156","75","39","22","1348","34","31","49","71","135","244","283","209","156","75","39","22","1348","34","31","49","71","135","244","283","209","156","75","39","22","1348","34","31","49","71","135","244","283","209","156","75","39","22","1348","34","31","49","71","135","244","283","209","156","75","39","22"
"13","Sa Kaeo","812","18","41","51","28","77","141","162","157","106","20","7","4","812","18","41","51","28","77","141","162","157","106","20","7","4","812","18","41","51","28","77","141","162","157","106","20","7","4","812","18","41","51","28","77","141","162","157","106","20","7","4","812","18","41","51","28","77","141","162","157","106","20","7","4","812","18","41","51","28","77","141","162","157","106","20","7","4","812","18","41","51","28","77","141","162","157","106","20","7","4","812","18","41","51","28","77","141","162","157","106","20","7","4","812","18","41","51","28","77","141","162","157","106","20","7","4","812","18","41","51","28","77","141","162","157","106","20","7","4","812","18","41","51","28","77","141","162","157","106","20","7","4","812","18","41","51","28","77","141","162","157","106","20","7","4","812","18","41","51","28","77","141","162","157","106","20","7","4","812","18","41","51","28","77","141","162","157","106","20","7","4","812","18","41","51","28","77","141","162","157","106","20","7","4"
"14","Samut Prakan","2160","146","125","204","93","89","124","214","278","271","264","225","127","2160","146","125","204","93","89","124","214","278","271","264","225","127","2160","146","125","204","93","89","124","214","278","271","264","225","127","2160","146","125","204","93","89","124","214","278","271","264","225","127","2160","146","125","204","93","89","124","214","278","271","264","225","127","2160","146","125","204","93","89","124","214","278","271","264","225","127","2160","146","125","204","93","89","124","214","278","271","264","225","127","2160","146","125","204","93","89","124","214","278","271","264","225","127","2160","146","125","204","93","89","124","214","278","271","264","225","127","2160","146","125","204","93","89","124","214","278","271","264","225","127","2160","146","125","204","93","89","124","214","278","271","264","225","127","2160","146","125","204","93","89","124","214","278","271","264","225","127","2160","146","125","204","93","89","124","214","278","271","264","225","127","2160","146","125","204","93","89","124","214","278","271","264","225","127","2160","146","125","204","93","89","124","214","278","271","264","225","127"
"15","Kanchanaburi","710","37","49","40","20","31","59","111","122","106","64","48","23","710","37","49","40","20","31","59","111","122","106","64","48","23","710","37","49","40","20","31","59","111","122","106","64","48","23","710","37","49","40","20","31","59","111","122","106","64","48","23","710","37","49","40","20","31","59","111","122","106","64","48","23","710","37","49","40","20","31","59","111","122","106","64","48","23","710","37","49","40","20","31","59","111","122","106","64","48","23","710","37","49","40","20","31","59","111","122","106","64","48","23","710","37","49","40","20","31","59","111","122","106","64","48","23","710","37","49","40","20","31","59","111","122","106","64","48","23","710","37","49","40","20","31","59","111","122","106","64","48","23","710","37","49","40","20","31","59","111","122","106","64","48","23","710","37","49","40","20","31","59","111","122","106","64","48","23","710","37","49","40","20","31","59","111","122","106","64","48","23","710","37","49","40","20","31","59","111","122","106","64","48","23"
"16","Nakhon Pathom","1535","76","80","96","43","49","62","110","164","236","236","226","157","1535","76","80","96","43","49","62","110","164","236","236","226","157","1535","76","80","96","43","49","62","110","164","236","236","226","157","1535","76","80","96","43","49","62","110","164","236","236","226","157","1535","76","80","96","43","49","62","110","164","236","236","226","157","1535","76","80","96","43","49","62","110","164","236","236","226","157","1535","76","80","96","43","49","62","110","164","236","236","226","157","1535","76","80","96","43","49","62","110","164","236","236","226","157","1535","76","80","96","43","49","62","110","164","236","236","226","157","1535","76","80","96","43","49","62","110","164","236","236","226","157","1535","76","80","96","43","49","62","110","164","236","236","226","157","1535","76","80","96","43","49","62","110","164","236","236","226","157","1535","76","80","96","43","49","62","110","164","236","236","226","157","1535","76","80","96","43","49","62","110","164","236","236","226","157","1535","76","80","96","43","49","62","110","164","236","236","226","157"
"17","Ratchaburi","1122","119","87","45","50","33","60","127","172","169","131","84","45","1122","119","87","45","50","33","60","127","172","169","131","84","45","1122","119","87","45","50","33","60","127","172","169","131","84","45","1122","119","87","45","50","33","60","127","172","169","131","84","45","1122","119","87","45","50","33","60","127","172","169","131","84","45","1122","119","87","45","50","33","60","127","172","169","131","84","45","1122","119","87","45","50","33","60","127","172","169","131","84","45","1122","119","87","45","50","33","60","127","172","169","131","84","45","1122","119","87","45","50","33","60","127","172","169","131","84","45","1122","119","87","45","50","33","60","127","172","169","131","84","45","1122","119","87","45","50","33","60","127","172","169","131","84","45","1122","119","87","45","50","33","60","127","172","169","131","84","45","1122","119","87","45","50","33","60","127","172","169","131","84","45","1122","119","87","45","50","33","60","127","172","169","131","84","45","1122","119","87","45","50","33","60","127","172","169","131","84","45"
"18","Suphan Buri","615","70","83","64","31","14","17","39","65","92","72","43","25","615","70","83","64","31","14","17","39","65","92","72","43","25","615","70","83","64","31","14","17","39","65","92","72","43","25","615","70","83","64","31","14","17","39","65","92","72","43","25","615","70","83","64","31","14","17","39","65","92","72","43","25","615","70","83","64","31","14","17","39","65","92","72","43","25","615","70","83","64","31","14","17","39","65","92","72","43","25","615","70","83","64","31","14","17","39","65","92","72","43","25","615","70","83","64","31","14","17","39","65","92","72","43","25","615","70","83","64","31","14","17","39","65","92","72","43","25","615","70","83","64","31","14","17","39","65","92","72","43","25","615","70","83","64","31","14","17","39","65","92","72","43","25","615","70","83","64","31","14","17","39","65","92","72","43","25","615","70","83","64","31","14","17","39","65","92","72","43","25","615","70","83","64","31","14","17","39","65","92","72","43","25"
"19","Phetchaburi","427","26","25","54","77","31","31","40","36","34","37","20","16","427","26","25","54","77","31","31","40","36","34","37","20","16","427","26","25","54","77","31","31","40","36","34","37","20","16","427","26","25","54","77","31","31","40","36","34","37","20","16","427","26","25","54","77","31","31","40","36","34","37","20","16","427","26","25","54","77","31","31","40","36","34","37","20","16","427","26","25","54","77","31","31","40","36","34","37","20","16","427","26","25","54","77","31","31","40","36","34","37","20","16","427","26","25","54","77","31","31","40","36","34","37","20","16","427","26","25","54","77","31","31","40","36","34","37","20","16","427","26","25","54","77","31","31","40","36","34","37","20","16","427","26","25","54","77","31","31","40","36","34","37","20","16","427","26","25","54","77","31","31","40","36","34","37","20","16","427","26","25","54","77","31","31","40","36","34","37","20","16","427","26","25","54","77","31","31","40","36","34","37","20","16"
"20","Prachuap Khiri Khan","824","17","15","29","37","65","73","127","117","141","91","77","35","824","17","15","29","37","65","73","127","117","141","91","77","35","824","17","15","29","37","65","73","127","117","141","91","77","35","824","17","15","29","37","65","73","127","117","141","91","77","35","824","17","15","29","37","65","73","127","117","141","91","77","35","824","17","15","29","37","65","73","127","117","141","91","77","35","824","17","15","29","37","65","73","127","117","141","91","77","35","824","17","15","29","37","65","73","127","117","141","91","77","35","824","17","15","29","37","65","73","127","117","141","91","77","35","824","17","15","29","37","65","73","127","117","141","91","77","35","824","17","15","29","37","65","73","127","117","141","91","77","35","824","17","15","29","37","65","73","127","117","141","91","77","35","824","17","15","29","37","65","73","127","117","141","91","77","35","824","17","15","29","37","65","73","127","117","141","91","77","35","824","17","15","29","37","65","73","127","117","141","91","77","35"
"21","Samut Sakhon","810","136","79","50","32","13","30","76","80","81","49","105","79","810","136","79","50","32","13","30","76","80","81","49","105","79","810","136","79","50","32","13","30","76","80","81","49","105","79","810","136","79","50","32","13","30","76","80","81","49","105","79","810","136","79","50","32","13","30","76","80","81","49","105","79","810","136","79","50","32","13","30","76","80","81","49","105","79","810","136","79","50","32","13","30","76","80","81","49","105","79","810","136","79","50","32","13","30","76","80","81","49","105","79","810","136","79","50","32","13","30","76","80","81","49","105","79","810","136","79","50","32","13","30","76","80","81","49","105","79","810","136","79","50","32","13","30","76","80","81","49","105","79","810","136","79","50","32","13","30","76","80","81","49","105","79","810","136","79","50","32","13","30","76","80","81","49","105","79","810","136","79","50","32","13","30","76","80","81","49","105","79","810","136","79","50","32","13","30","76","80","81","49","105","79"
"22","Samut Songkhram","113","7","11","9","7","7","4","7","12","12","8","16","13","113","7","11","9","7","7","4","7","12","12","8","16","13","113","7","11","9","7","7","4","7","12","12","8","16","13","113","7","11","9","7","7","4","7","12","12","8","16","13","113","7","11","9","7","7","4","7","12","12","8","16","13","113","7","11","9","7","7","4","7","12","12","8","16","13","113","7","11","9","7","7","4","7","12","12","8","16","13","113","7","11","9","7","7","4","7","12","12","8","16","13","113","7","11","9","7","7","4","7","12","12","8","16","13","113","7","11","9","7","7","4","7","12","12","8","16","13","113","7","11","9","7","7","4","7","12","12","8","16","13","113","7","11","9","7","7","4","7","12","12","8","16","13","113","7","11","9","7","7","4","7","12","12","8","16","13","113","7","11","9","7","7","4","7","12","12","8","16","13","113","7","11","9","7","7","4","7","12","12","8","16","13"
"23","Chanthaburi","2222","28","60","92","149","352","487","456","255","172","85","53","33","2222","28","60","92","149","352","487","456","255","172","85","53","33","2222","28","60","92","149","352","487","456","255","172","85","53","33","2222","28","60","92","149","352","487","456","255","172","85","53","33","2222","28","60","92","149","352","487","456","255","172","85","53","33","2222","28","60","92","149","352","487","456","255","172","85","53","33","2222","28","60","92","149","352","487","456","255","172","85","53","33","2222","28","60","92","149","352","487","456","255","172","85","53","33","2222","28","60","92","149","352","487","456","255","172","85","53","33","2222","28","60","92","149","352","487","456","255","172","85","53","33","2222","28","60","92","149","352","487","456","255","172","85","53","33","2222","28","60","92","149","352","487","456","255","172","85","53","33","2222","28","60","92","149","352","487","456","255","172","85","53","33","2222","28","60","92","149","352","487","456","255","172","85","53","33","2222","28","60","92","149","352","487","456","255","172","85","53","33"
"24","Chon Buri","2280","133","135","140","142","231","291","402","457","319","30","0","0","2280","133","135","140","142","231","291","402","457","319","30","0","0","2280","133","135","140","142","231","291","402","457","319","30","0","0","2280","133","135","140","142","231","291","402","457","319","30","0","0","2280","133","135","140","142","231","291","402","457","319","30","0","0","2280","133","135","140","142","231","291","402","457","319","30","0","0","2280","133","135","140","142","231","291","402","457","319","30","0","0","2280","133","135","140","142","231","291","402","457","319","30","0","0","2280","133","135","140","142","231","291","402","457","319","30","0","0","2280","133","135","140","142","231","291","402","457","319","30","0","0","2280","133","135","140","142","231","291","402","457","319","30","0","0","2280","133","135","140","142","231","291","402","457","319","30","0","0","2280","133","135","140","142","231","291","402","457","319","30","0","0","2280","133","135","140","142","231","291","402","457","319","30","0","0","2280","133","135","140","142","231","291","402","457","319","30","0","0"
