"","Region/province","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"1","Amnat Charoen",368934,368915,369476,370804,372137,372241,373494,374698,375380,376382,377120,378107,378621,378438,376195,376350
"2","Ang Thong",283943,284406,284831,284807,284970,284061,283882,283732,283568,283173,282404,281187,280840,279654,276584,274763
"3","Bangkok",5695956,5716248,5710883,5702595,5701394,5674843,5673560,5686252,5692284,5696409,5686646,5682415,5676648,5666264,5588222,5527994
"4","Bungkan",0,0,0,0,0,407634,412613,416236,418566,420647,421625,423032,423940,424091,422042,421995
"5","Buri Ram",1536722,1536070,1541650,1546784,1553765,1559085,1566740,1573438,1579248,1584661,1587897,1591905,1594850,1595747,1581184,1579805
"6","Chachoengsao",654206,658966,664830,668983,673933,679370,685721,690226,695478,700902,704399,709889,715009,720113,720718,724178
"7","Chai Nat",339006,337147,335952,335420,334934,333256,333172,332769,332283,331655,330431,329722,328263,326611,322477,320432
"8","Chaiyaphum",1119146,1119597,1122647,1125166,1127423,1127423,1133034,1135723,1137049,1138252,1138199,1139356,1138777,1137357,1124924,1122265
"9","Chanthaburi",502389,504003,508020,511246,514616,516855,521812,524260,527350,531037,532466,534459,536496,537698,535559,536557
"10","Chiang Mai",1658298,1664399,1670317,1632548,1640479,1646144,1655642,1666888,1678284,1728242,1735762,1746840,1763742,1779254,1784370,1789385
"11","Chiang Rai",1225713,1225013,1227317,1194933,1198218,1198656,1200423,1204660,1207699,1277950,1282544,1287615,1292130,1298304,1295026,1298425
"12","Chon Buri",1209290,1233446,1264687,1289590,1316293,1338656,1364002,1390354,1421425,1455039,1483049,1509125,1535445,1558301,1566885,1583672
"13","Chumphon",478964,481298,484722,487744,489964,492182,495310,498294,500575,505830,507604,509650,510963,511304,509208,509479
"14","Kalasin",975562,977508,978583,980158,982578,981655,985084,984030,984907,985203,985232,986005,985346,983418,977175,975570
"15","Kamphaeng Phet",728320,725994,726213,726846,727093,726009,727555,728631,729522,730158,729542,729133,727807,725867,714118,712143
"16","Kanchanaburi",834447,835282,840905,833423,839776,838914,838269,842882,848198,882146,885112,887979,893151,895525,891976,894054
"17","Khon Kaen",1750500,1752414,1756101,1762242,1767601,1766066,1774816,1781655,1790049,1798014,1801753,1805910,1805895,1802872,1794531,1790863
"18","Krabi",403363,410634,418705,426556,432704,438039,444967,450890,456811,462101,465931,469769,473738,476739,477770,479351
"19","Lampang",773790,770613,767615,764498,761949,757534,756811,754862,753013,752356,748850,746547,742883,738316,728964,724678
"20","Lamphun",405564,405157,405125,404693,404560,403952,404673,405268,405468,406385,405999,405918,405955,405075,402011,401139
"21","Loei",613303,615538,618423,620780,624066,624920,629787,632205,634513,638819,639801,641666,642773,642950,638736,638732
"22","Lop Buri",752775,749821,753801,754452,755854,756127,758059,757970,758406,758655,757321,757273,758733,755556,742928,739473
"23","Mae Hong Son",255174,254804,252692,241847,242742,244048,244356,246549,248178,273764,275884,279088,282566,284138,284549,285916
"24","Maha Sarakham",937686,936005,936854,939090,940911,939736,945149,955644,960588,964596,963484,963072,963047,962665,953660,948310
"25","Mukdahan",335447,336107,337497,338048,339575,340581,342868,344302,346016,348101,349474,350782,352282,353174,350911,351484
"26","Nakhon Nayok",250003,248496,250753,251683,252734,253831,255174,256085,257300,258577,258358,259342,260093,260751,260081,260433
"27","Nakhon Pathom",821905,830970,843599,851426,860246,866064,874616,882184,891071,899342,905008,911492,917053,920030,920729,922171
"28","Nakhon Phanom",695351,697105,699364,700690,703392,704768,708350,710860,713341,715399,716873,718028,718786,719136,717201,717040
"29","Nakhon Ratchasima",2555587,2552984,2565117,2571292,2582089,2585325,2601167,2610164,2620517,2628818,2631435,2639226,2646401,2648927,2633207,2634154
"30","Nakhon Sawan",1076015,1073683,1074239,1072868,1073495,1071686,1073347,1073142,1072756,1071942,1066455,1065334,1063964,1059887,1040308,1035028
"31","Nakhon Si Thammarat",1510460,1506997,1513163,1516499,1522561,1526071,1534887,1541843,1548028,1552530,1554432,1557482,1560433,1561927,1550721,1549344
"32","Nan",477662,477381,475984,475614,476363,476612,477673,477912,478264,479518,479916,479838,478989,478227,476727,475875
"33","Narathiwat",707171,711517,719930,728071,737162,747372,757397,766145,774799,783082,789681,796239,802474,808020,804429,809660
"34","Nong Bua Lam Phu",496692,497603,499520,500913,502868,502551,505071,507137,508864,510074,510734,511641,512117,512780,509470,509001
"35","Nong Khai",899580,902618,906877,907250,912937,509870,512439,514943,517260,519580,520363,521886,522103,522311,517435,516843
"36","Nonthaburi",999057,1024191,1052592,1078071,1101743,1122627,1141673,1156271,1173870,1193711,1211924,1229735,1246295,1265387,1276745,1288637
"37","P.Nakhon S.Ayutthaya",754595,760712,769126,775157,782096,787653,793509,797970,803599,808360,810320,813852,817441,820188,819088,820512
"38","Pathum Thani",861338,896843,929250,956376,985643,1010898,1033837,1053158,1074058,1094249,1111376,1129115,1146092,1163604,1176412,1190060
"39","Pattani",635730,637806,642169,647624,655259,663485,671615,678838,686186,694023,700961,709796,718077,725104,726015,729581
"40","Phangnga",245394,246887,249933,251657,253112,254931,257493,259420,261370,264074,265579,267491,268240,268788,268229,268016
"41","Phatthalung",503321,502563,505129,507777,509534,511063,514492,518021,520419,522723,523723,524857,525044,524865,523077,522541
"42","Phayao",486219,486579,487386,487120,486304,486472,488120,486744,484454,482645,479188,477100,475215,472356,467356,464505
"43","Phetchabun",1002317,997531,996231,995125,996031,990807,993702,994397,995807,996986,995223,995331,994540,992451,981940,978372
"44","Phetchaburi",456681,456061,458975,461239,464033,466079,468874,471087,474192,478589,480652,482375,484294,485191,482193,482875
"45","Phichit",557832,554740,554112,553193,552690,549688,549395,548855,547543,545957,543482,541868,539374,536311,532310,529395
"46","Phitsanulok",844508,841683,843995,845561,849692,851357,854372,856376,858988,863404,865759,865368,866891,865247,849481,847384
"47","Phrae",468373,465876,463477,462090,460756,458750,457607,456074,454083,452346,449810,447564,445090,441726,437350,434580
"48","Phuket",300737,315498,327006,335913,345067,353847,360905,369522,378364,386605,394169,402017,410211,416582,414471,418785
"49","Prachin Buri",453819,454988,459379,461854,466572,469652,473770,476167,479314,482195,484829,487544,491640,494680,493670,495325
"50","Prachuap Khiri Khan",494416,494588,500378,504063,509134,512568,517050,520271,525107,534719,539534,543979,548815,554116,550678,553171
"51","Ranong",179850,180787,182729,181754,183079,183849,182648,174776,177089,187536,189154,190399,191868,193370,194372,194573
"52","Ratchaburi",828930,831438,835861,835231,839075,842684,846631,850162,853217,867883,869823,871714,873518,873101,869313,868281
"53","Rayong",573785,583470,598664,612095,626402,637736,649275,661220,674393,688999,700223,711236,723316,734753,741524,751343
"54","Roi Et",1310047,1308589,1307212,1308159,1309708,1305058,1308570,1308958,1308318,1308166,1307982,1307911,1307208,1305211,1298640,1296013
"55","Sa Kaeo",538344,539137,541425,542451,544100,545596,548342,550937,552187,556922,559017,561938,564092,566303,560925,561992
"56","Sakon Nakhon",1109046,1113064,1116034,1118449,1122905,1123351,1129174,1134322,1138609,1142737,1145949,1149472,1152282,1153390,1146936,1146286
"57","Samut Prakan",1107626,1126940,1147224,1164105,1185180,1203223,1223302,1241610,1261530,1279310,1293553,1310766,1326608,1344875,1351479,1356449
"58","Samut Sakhon",462510,469934,478146,484606,491887,499098,508812,519457,531887,545454,556719,568465,577964,584703,586199,586789
"59","Samut Songkhram",194990,194212,194054,193647,194057,194086,194042,194116,194189,194376,194069,193902,193791,193305,192052,190842
"60","Saraburi",609855,615756,621640,612707,617384,620454,625689,629216,633460,637673,640065,642040,645024,645911,643828,643963
"61","Satun",281545,284482,288409,293101,297163,301467,305879,309793,312673,315923,317612,319700,321574,323586,324098,324835
"62","Si Sa Ket",1446484,1443011,1441412,1446345,1452471,1452203,1458370,1462028,1465213,1468798,1470341,1472031,1473011,1472859,1458580,1457556
"63","Sing Buri",216969,215653,215551,215299,214661,213587,213216,212690,212158,211426,210588,210088,209377,208446,205898,204526
"64","Songkhla",1317501,1324915,1335768,1343954,1357023,1367010,1378574,1389890,1401303,1410577,1417440,1424230,1432628,1435968,1428609,1431536
"65","Sukhothai",608820,605301,603817,602813,601778,601504,602601,602713,602460,601712,600231,599319,597257,595072,587883,585352
"66","Suphan Buri",843904,842584,844498,844590,845850,845053,847308,848066,849053,849699,848567,852003,848720,846334,838628,835360
"67","Surat Thani",960698,970424,983486,994221,1000383,1012064,1023288,1031812,1040230,1046772,1050913,1057581,1063501,1068010,1067726,1072464
"68","Surin",1375257,1372672,1375560,1377827,1381761,1380399,1386277,1388194,1391636,1395024,1395567,1397180,1397857,1396831,1378221,1376230
"69","Tak",527677,530928,538330,519662,525684,531018,526045,532353,539553,618382,631965,644267,654676,665620,670265,676583
"70","Trang",607450,610332,614869,618675,622659,626708,631920,636043,638746,640793,641684,643072,643116,643164,640574,639788
"71","Trat",219949,220543,221827,220008,220921,222013,222855,224010,224730,229435,229437,229649,229914,229958,228536,228376
"72","Ubon Ratchathani",1783035,1785709,1795453,1803754,1813088,1816057,1826920,1836523,1844669,1857429,1862965,1869633,1874548,1878146,1866697,1868519
"73","Udon Thani",1527562,1530686,1535629,1538940,1544786,1548107,1557298,1563964,1570300,1575152,1578783,1583092,1586666,1586646,1567983,1566510
"74","Uthai Thani",326988,326975,327586,327871,327959,328034,328950,329536,330179,330906,330299,329942,329433,328618,325868,325116
"75","Uttaradit",467482,465277,464205,462951,462618,461040,461294,460995,460400,459768,458197,457092,455403,453103,448745,446148
"76","Yala",468252,470691,475527,480334,487380,493767,500814,506138,511911,518139,522279,527295,532326,536330,538602,542314
"77","Yasothon",540889,539542,539284,539134,539257,538853,540267,540383,540211,540182,539815,539542,538729,537299,534500,533394
